Date;Latitude;Longitude;Total Accumulation
08.02.2010;316.442;-1.580.152;0.0
08.05.2011;366.393;-1.281.462;0.0
08.02.2011;380.007;-1.419.933;0.0
08.02.2011;46.65;-1.517.167;0.0
08.05.2011;363.092;-1.509.315;0.0
08.02.2011;385.833;-1.301.333;0.0
08.01.2011;38.85;-134.1;0.0
30.07.2011;392.167;-142.85;0.0
29.07.2011;393.333;-1.473.167;0.0
28.07.2011;37.25;-1.488.833;0.0
08.07.2010;373.167;-1.358.333;0.0
08.06.2010;36.9;-1.387.667;0.0
08.05.2010;36.75;-141.3;0.0
08.06.2011;357.667;-124.5;0.0
08.01.2010;322.667;-148.85;0.0
27.07.2010;23.25;-1.568.833;0.0
08.07.2010;383.167;-1.347.667;0.0
08.02.2010;36.25;-1.469.333;0.0
08.10.2010;419.833;-1.432.167;0.0
31.07.2010;271.167;-1.570.833;0.0
29.07.2010;23.25;-1.579.833;0.0
08.02.2010;377.667;-1.446.333;0.0
08.10.2010;441.433;-1.587.833;0.0
13.08.2010;35.593;-1.414.937;0.0
08.10.2010;349.017;-1.472.349;0.0
08.05.2010;33.885;-155.53;0.0
20.08.2009;246.667;-1.594.667;0.0
28.07.2010;245.333;-1.551.833;0.0
24.07.2011;243.667;-1.561.667;0.0
24.07.2011;245.333;-1.579.667;0.0
08.04.2011;31.4;-1.481.167;0.0
08.10.2011;331.667;-1.364.333;0.0
16.08.2011;341.667;-119.8;0.0
08.08.2011;334.167;-1.447.667;0.0
25.07.2011;274.833;-154.3;0.0
08.08.2012;30. Apr;-1.570.833;0.0
08.02.2012;219.037;-1.577.995;0.0
08.02.2011;266.333;-1.541.667;0.0
13.08.2011;315.667;-132.3;0.0
08.01.2011;255.333;-155.5;0.0
14.08.2011;315.167;-1.278.667;0.0
30.07.2011;228.333;-1.586.667;0.0
08.06.2012;249.106;-1.574.276;0.0
30.07.2011;221.333;-1.580.833;0.0
25.11.2007;198.962;-1.559.993;1.0
11.10.2007;189.533;-1.557.185;1.0
