X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-124.566666666228,48.383333333066,Kinetic,,0,16,250,-124.566667,48.383333,No Debris,7/7/2012,Kinetic,Kinetic
-124.016666666555,48.2833333331461,Red Sheilla,,0,15,270,-124.016667,48.283333,No Debris,7/7/2012,Red Sheilla,Red Sheilla
-124.033333333701,48.3166666669443,Anne Bonny,,0,18,285,-124.033333,48.316667,No Debris,7/7/2012,Anne Bonny,Anne Bonny
-124.349999999609,48.3000000002473,Family Affair,,1,17,312,-124.35,48.3,Occasional Small & Medium Debris,7/7/2012,Family Affair,Family Affair
-126.183333333652,44.8999999999532,Radiance,,1,20,350,-126.183333,44.9,Occasional Small & Medium Debris,7/7/2012,Radiance,Radiance
-127.95,44.6500000000667,Ballymack,,1,10,300,-127.95,44.65,Occasional Small & Medium Debris,7/7/2012,Ballymack,Ballymack
-125.033333333762,46.4333333335167,Incantation,,0,18,320,-125.033333,46.433333,No Debris,7/8/2012,Incantation,Incantation
-125.76666666666,45.0333333334498,Double Take,,0,19,336,-125.766667,45.033333,No Debris,7/8/2012,Double Take,Double Take
-125.8,45.0166666667704,Terremoto,,1,22,330,-125.8,45.016667,Occasional Small & Medium Debris,7/8/2012,Terremoto,Terremoto
-125.400000000211,45.36666666675,Kinetic,,0,19,350,-125.4,45.366667,No Debris,7/8/2012,Kinetic,Kinetic
-125.3,46.1,Bravo Zulu,,0,24,330,-125.3,46.1,No Debris,7/8/2012,Bravo Zulu,Bravo Zulu
-125.449999999855,46.6166666665722,Red Sheilla,,1,20,320,-125.45,46.616667,Occasional Small & Medium Debris,7/8/2012,Red Sheilla,Red Sheilla
-125.849999999699,46.016666666969,Anne Bonny,,2,18,280,-125.85,46.016667,Frequent Small & Medium Debris,7/8/2012,Anne Bonny,Anne Bonny
-125.533333332894,46.066666666787,Family Affair,,1,16,330,-125.533333,46.066667,Occasional Small & Medium Debris,7/8/2012,Family Affair,Family Affair
-128.016666666796,45.4833333330346,Big Ben,,1,10,305,-128.016667,45.483333,Occasional Small & Medium Debris,7/8/2012,Big Ben,Big Ben
-129.28333333312,42.86666666641,Ballymack,,1,5,300,-129.283333,42.866667,Occasional Small & Medium Debris,7/8/2012,Ballymack,Ballymack
-126.05,43.0333333331601,Incantation,,3,18,280,-126.05,43.033333,Frequent Medium & Occasional Large Debris,7/9/2012,Incantation,Incantation
-127.733333333386,41.5500000001035,Double Take,,1,16,320,-127.733333,41.55,Occasional Small & Medium Debris,7/9/2012,Double Take,Double Take
-126.966666667092,43.2000000002726,Red Heather,,0,14,340,-126.966667,43.2,No Debris,7/9/2012,Red Heather,Red Heather
-126.033333332924,43.1833333331875,Bravo Zulu,,1,17,335,-126.033333,43.183333,Occasional Small & Medium Debris,7/9/2012,Bravo Zulu,Bravo Zulu
