X,Y,gid,Name,description,altitudeMode,FID_LA_River,FCC,OBJECTID_1,Field_1
-118.617449955591,34.1801750690786,2,Los Angeles River,,absolute,<Null>,<Null>,2,
-118.226629998364,34.1768850180266,3,Verdugo Wash,,absolute,<Null>,<Null>,3,
-118.583090001018,34.2046101323804,4,Browns Canyon Wash,,absolute,<Null>,<Null>,4,
-118.381340007698,34.16366502623,5,Central Branch Tujunga Wash,,absolute,<Null>,<Null>,5,
-118.416839970989,34.1854949557828,8,Tujunaga Wash,,absolute,<Null>,<Null>,9,
-118.036955002213,34.1113800318807,9,Arcadia Wash,,absolute,<Null>,<Null>,10,
-118.310124987541,34.1741849657814,10,Burbank Western Channel,,absolute,<Null>,<Null>,11,
-117.999165067553,34.1166499697414,11,Rio Hondo,,absolute,<Null>,<Null>,12,
-118.004795003756,34.1096699898627,12,Rio Hondo,,absolute,<Null>,<Null>,13,
-118.087714972998,34.0954499161375,14,Rubio Wash,,absolute,<Null>,<Null>,15,
-117.986270000021,34.1435949981449,15,Rio Hondo,,absolute,<Null>,<Null>,16,
-118.093189980686,34.0669099527615,16,Alhambra Wash,,absolute,<Null>,<Null>,18,
-118.544060000123,34.2045299013163,17,Aliso Canyon Wash,,absolute,<Null>,<Null>,19,
-118.464175000043,34.1613049982073,18,"Angeles River, Los",,absolute,<Null>,<Null>,20,
-118.242312879366,34.1013473978,19,LA River Restoration Griffith Park to Downtown,,absolute,<Null>,<Null>,21,
-118.498064999657,34.2250199982588,1,Los Angeles River,,absolute,<Null>,<Null>,1,
-118.530400000733,34.1660650344135,6,Caballero Creek,,absolute,<Null>,<Null>,6,
-118.165839984323,34.1302899153785,7,"Seco, Arroyo",,absolute,<Null>,<Null>,7,
-118.081534999688,34.1197299845514,13,Eaton Wash,,absolute,<Null>,<Null>,14,
-118.175735500174,33.9319119982062,21,Rio Hondo River,,absolute,2,H11,23,
-118.118680869565,33.9760485098586,22,Rio Hondo River,,absolute,2,H11,24,
-118.066908499946,34.0642589981801,23,Rio Hondo River,,absolute,2,H11,25,
-118.171950500382,33.958251998302,24,Los Angeles River,,absolute,1,H11,26,
-118.500296971959,34.1792580036755,25,Los Angeles River,,absolute,1,H11,27,
-118.165839984323,34.1302899153785,20,"Seco, Arroyo",,absolute,<Null>,<Null>,22,
