""
"Indicator name: Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point  Data Source: BirdLife International, IUCN and UNEP(https://www.ibat-alliance.org/ibat-conservation/about), World Database on Protected Areas and Integrated Biodiversity Assessment Tool(https://www.ibat-alliance.org/ibat-conservation/login)"
"Description: Calculated from data derived from a spatial overlap between digital polygons for protected areas from the World Database on Protected Areas (WDPA, IUCN and UNEP-WCMC, 2015) and terrestrial, mountain and freshwater Key Biodiversity Areas (from the World Database of Key Biodiversity Areas available through the Integrated Biodiversity Assessment Tool). Any terrestrial and freshwater Key Biodiversity Areas for which >98% of their area is overlapped by one or more protected areas was defined as completely protected."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1900","0.00"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1901","0.01"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1902","0.01"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1903","0.01"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1904","0.03"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1905","0.03"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1906","0.03"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1907","0.03"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1908","0.37"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1909","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1910","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1911","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1912","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1913","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1914","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1915","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1916","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1917","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1918","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1919","0.45"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1920","0.51"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1921","0.51"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1922","0.51"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1923","0.51"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1924","0.51"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1925","0.76"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1926","0.76"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1927","0.76"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1928","0.76"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1929","0.76"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1930","0.79"
"Marine KBAs completely covered by protected areas (SDG 14.5.1), Mid-point (Percentage)","United States of America","1931","0.83"
